"Latest: Time (s)","Latest: Position (m)"
0.032258,0.8178835
0.064516,0.817712
0.096774,0.818055
0.129032,0.8178835
0.16129,0.8178835
0.193548,0.8178835
0.225806,0.817712
0.258064,0.818055
0.290322,0.8178835
0.32258,0.8178835
0.354838,0.8178835
0.387096,0.818055
0.419354,0.818055
0.451612,0.818055
0.48387,0.8178835
0.516128,0.817712
0.548386,0.818055
0.580644,0.818055
0.612902,0.8178835
0.64516,0.817712
0.677418,0.818055
0.709676,0.818055
0.741934,0.8178835
0.774192,0.817712
0.80645,0.817712
0.838708,0.818055
0.870966,0.8178835
0.903224,0.8178835
0.935482,0.817712
0.96774,0.8182265
0.999998,0.818055
1.032256,0.8178835
1.064514,0.8178835
1.096772,0.8178835
1.12903,0.818055
1.161288,0.818055
1.193546,0.8178835
1.225804,0.8178835
1.258062,0.817712
1.29032,0.818055
1.322578,0.8178835
1.354836,0.8178835
1.387094,0.817712
1.419352,0.817712
1.45161,0.8178835
1.483868,0.8178835
1.516126,0.8178835
1.548384,0.817712
1.580642,0.818055
1.6129,0.818055
1.645158,0.8178835
1.677416,0.817712
1.709674,0.817712
1.741932,0.818055
1.77419,0.8178835
1.806448,0.8178835
1.838706,0.817712
1.870964,0.818055
1.903222,0.818055
1.93548,0.8178835
1.967738,0.817712
1.999996,0.818055
2.032254,0.818055
2.064512,0.8178835
2.09677,0.817712
2.129028,0.817712
2.161286,0.818055
2.193544,0.818055
2.225802,0.8178835
2.25806,0.8178835
2.290318,0.8182265
2.322576,0.818055
2.354834,0.8178835
2.387092,0.8178835
2.41935,0.817712
2.451608,0.817712
2.483866,0.818055
2.516124,0.8178835
2.548382,0.8178835
2.58064,0.817712
2.612898,0.818055
2.645156,0.8178835
2.677414,0.8178835
2.709672,0.817712
2.74193,0.817712
2.774188,0.8175405
2.806446,0.815997
2.838704,0.8130815
2.870962,0.8093085
2.90322,0.805707
2.935478,0.801248
2.967736,0.796789
2.999994,0.791987
3.032252,0.787185
3.06451,0.782726
3.096768,0.7774095
3.129026,0.772436
3.161284,0.765233
3.193542,0.762832
3.2258,0.755629
3.258058,0.750484
3.290316,0.7451675
3.322574,0.739851
3.354832,0.735049
3.38709,0.7297325
3.419348,0.7245875
3.451606,0.7194425
3.483864,0.714469
3.516122,0.7091525
3.54838,0.7040075
3.580638,0.6988625
3.612896,0.6940605
3.645154,0.6889155
3.677412,0.6847995
3.70967,0.6803405
3.741928,0.6762245
3.774186,0.6731375
3.806444,0.671594
3.838702,0.6707365
3.87096,0.6714225
3.903218,0.6731375
3.935476,0.676739
3.967734,0.681198
3.999992,0.6861715
4.03225,0.691831
4.064508,0.6974905
4.096766,0.703493
4.129024,0.708638
4.161282,0.712754
4.19354,0.7160125
4.225798,0.719957
4.258056,0.719614
4.290314,0.7160125
4.322572,0.7125825
4.35483,0.7074375
4.387088,0.702807
4.419346,0.697319
4.451604,0.692174
4.483862,0.687029
4.51612,0.68257
4.548378,0.677768
4.580636,0.6738235
4.612894,0.671251
4.645152,0.6697075
4.67741,0.669879
4.709668,0.671251
4.741926,0.673995
4.774184,0.6782825
4.806442,0.6837705
4.8387,0.689773
4.870958,0.6961185
4.903216,0.702464
4.935474,0.7101815
4.967732,0.714812
4.99999,0.718242
5.032248,0.719957
5.064506,0.7194425
5.096764,0.717213
5.129022,0.71344
5.16128,0.707952
5.193538,0.7005775
5.225796,0.6954325
5.258054,0.6902875
5.290312,0.686
5.32257,0.6810265
5.354828,0.676396
5.387086,0.6724515
5.419344,0.669879
5.451602,0.667821
5.48386,0.666792
5.516118,0.666792
5.548376,0.6683355
5.580634,0.6707365
5.612892,0.6741665
5.64515,0.6786255
5.677408,0.683599
5.709666,0.6892585
5.741924,0.694575
5.774182,0.6998915
5.80644,0.7046935
5.838698,0.709324
5.870956,0.712754
5.903214,0.714812
5.935472,0.7153265
5.96773,0.714469
5.999988,0.7125825
6.032246,0.7088095
6.064504,0.704179
6.096762,0.699034
6.12902,0.694232
6.161278,0.689087
6.193536,0.683942
6.225794,0.6789685
6.258052,0.6745095
6.29031,0.6707365
6.322568,0.6690215
6.354826,0.668164
6.387084,0.66885
6.419342,0.6710795
6.4516,0.675024
6.483858,0.6799975
6.516116,0.6858285
6.548374,0.6923455
6.580632,0.699034
6.61289,0.706237
6.645148,0.7122395
6.677406,0.71687
6.709664,0.7221865
6.741922,0.724073
6.77418,0.7228725
6.806438,0.7190995
6.838696,0.714126
6.870954,0.709324
6.903212,0.704865
6.93547,0.697662
6.967728,0.6926885
6.999986,0.6875435
7.032244,0.682913
7.064502,0.6779395
7.09676,0.6727945
7.129018,0.667821
7.161276,0.664048
7.193534,0.660618
7.225792,0.6587315
7.25805,0.658217
7.290308,0.659246
7.322566,0.6621615
7.354824,0.665763
7.387082,0.6703935
7.41934,0.6755385
7.451598,0.6817125
7.483856,0.6865145
7.516114,0.689773
7.548372,0.691831
7.58063,0.692517
7.612888,0.691145
7.645146,0.688058
7.677404,0.6827415
7.709662,0.6779395
7.74192,0.6731375
7.774178,0.6686785
7.806436,0.663705
7.838694,0.6587315
7.870952,0.6535865
7.90321,0.648956
7.935468,0.644497
7.967726,0.6398665
7.999984,0.6364365
8.032242,0.63455
8.0645,0.6343785
8.096758,0.635579
8.129016,0.638323
8.161274,0.642782
8.193532,0.648613
8.22579,0.655816
8.258048,0.6635335
8.290306,0.671594
8.322564,0.679483
8.354822,0.686343
8.38708,0.691831
8.419338,0.695604
8.451596,0.6971475
8.483854,0.6968045
8.516112,0.6950895
8.54837,0.6906305
8.580628,0.685314
8.612886,0.6803405
8.645144,0.676053
8.677402,0.670908
8.70966,0.6659345
8.741918,0.660961
8.774176,0.6559875
8.806434,0.6515285
8.838692,0.6463835
8.87095,0.6412385
8.903208,0.6367795
8.935466,0.632835
8.967724,0.630777
8.999982,0.629748
9.03224,0.6309485
9.064498,0.63455
9.096756,0.640381
9.129014,0.6484415
9.161272,0.6583885
9.19353,0.6703935
9.225788,0.6830845
9.258046,0.6968045
9.290304,0.7101815
9.322562,0.722701
9.35482,0.7338485
9.387078,0.7427665
9.419336,0.75117
9.451594,0.752542
9.483852,0.749455
9.51611,0.741909
9.548368,0.737107
9.580626,0.732305
9.612884,0.72716
9.645142,0.7221865
9.6774,0.71687
9.709658,0.712411
9.741916,0.707266
9.774174,0.7022925
9.806432,0.6971475
9.83869,0.692517
9.870948,0.687372
9.903206,0.682227
9.935464,0.6769105
9.967722,0.67228
9.99998,0.667135
10.032238,0.6625045
10.064496,0.6594175
10.096754,0.6577025
10.129012,0.65856
10.16127,0.661304
10.193528,0.666106
10.225786,0.6727945
10.258044,0.6813695
